1	0.955690644873495088
2	0.965078719677139096
3	0.968203612200662311
4	0.969831164339876262
5	0.969969263462446274
6	0.968934366436192018
7	0.951727075393740241
8	0.963120592548779575
9	0.96656678066266144
10	0.967062616146598941
11	0.965864090396256203
12	0.95608370554757327
13	0.985995348077147615
14	0.995419618258406302
15	0.998272692121553784
16	0.998194296622685773
17	0.993326076771325561
18	0.992670075212708891
19	0.912886066456799261
20	0.951087097865133457
21	0.962216079924658074
22	0.963155810316974836
23	0.968833009113065136
24	0.961139338514712005

Eta bins: 0.0-0.9; 0.9-1.2; 1.2-2.1; 2.1-2.4
pT bins: 26-30; 30-40; 40-50; 50-60; 60-120; 120-200
